FullGeoName,LocationID,Public_Health_Jurisdiction,StateDesc,County,Percent_COPD,95% Confidence Interval,Quartile
"AL, Autauga",01001,AL,Alabama,Autauga,7.5,6.5 - 8.5,7.3 - 8.6
"AL, Baldwin",01003,AL,Alabama,Baldwin,6.9,5.9 - 8.0,6.0 - 7.2
"AL, Barbour",01005,AL,Alabama,Barbour,10.7,9.6 - 11.8,8.7 - 15.5
"AL, Bibb",01007,AL,Alabama,Bibb,9.2,8.2 - 10.1,8.7 - 15.5
"AL, Blount",01009,AL,Alabama,Blount,8.7,7.6 - 9.8,8.7 - 15.5
"AL, Bullock",01011,AL,Alabama,Bullock,9.2,8.2 - 10.1,8.7 - 15.5
"AL, Butler",01013,AL,Alabama,Butler,9.3,8.3 - 10.3,8.7 - 15.5
"AL, Calhoun",01015,AL,Alabama,Calhoun,8.6,7.7 - 9.7,7.3 - 8.6
"AL, Chambers",01017,AL,Alabama,Chambers,8.7,7.8 - 9.7,8.7 - 15.5
"AL, Cherokee",01019,AL,Alabama,Cherokee,9.5,8.3 - 10.8,8.7 - 15.5
"AL, Chilton",01021,AL,Alabama,Chilton,9.3,8.2 - 10.4,8.7 - 15.5
"AL, Choctaw",01023,AL,Alabama,Choctaw,9.5,8.6 - 10.4,8.7 - 15.5
"AL, Clarke",01025,AL,Alabama,Clarke,9.4,8.5 - 10.3,8.7 - 15.5
"AL, Clay",01027,AL,Alabama,Clay,10.1,9.0 - 11.3,8.7 - 15.5
"AL, Cleburne",01029,AL,Alabama,Cleburne,9.2,7.9 - 10.5,8.7 - 15.5
"AL, Coffee",01031,AL,Alabama,Coffee,7.5,6.6 - 8.6,7.3 - 8.6
"AL, Colbert",01033,AL,Alabama,Colbert,8.2,7.2 - 9.2,7.3 - 8.6
"AL, Conecuh",01035,AL,Alabama,Conecuh,9.4,8.5 - 10.3,8.7 - 15.5
"AL, Coosa",01037,AL,Alabama,Coosa,8.8,7.9 - 9.9,8.7 - 15.5
